,episode_idx,round,topic,message,response,knowledge,gold
15,43,0,Lactose intolerance,Do you know anything about being lactose intolerant?,"no , i don ' t , but i do know that it ' s the ability to digest lactose .","Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk products.",I think I may have lactose intolerance. I'm having a hard time digesting milk.
16,51,0,Sephora,Sephora is so pretty i love it,me too ! it ' s an american fashion company founded in 1854 .,Sephora is a French chain of cosmetics stores founded in 1969.,The french chain store?
17,54,1,Upholstery,Oh really that sounds fun what do you do?,an upholsterer is a person who specializes in dentistry .,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,I'm the owner of the business and an upholsterer and I have an apprentice called an outside or trimmer.
18,55,0,Magic: The Gathering,I love playing magic the gathering with some friends its really fun,magic is one of the oldest trading card games in the world .,Magic: The Gathering is a trading card game and a digital collectible card game.,"Cool, Magic: the Gathering is a trading card game."
19,55,2,Magic: The Gathering,yea it had its 25th anniversary this year,yes it is . it is played on 52 cards .,"In constructed, players created decks from cards they own, usually 60 cards with no more than 4 of any given card.","Awesome, players can create their own decks, usually 60 cards and no more than 4 of a single card."
20,61,0,Madonna (entertainer),Do you know anything about Madonna. I know she was popular a while back if I recall.,she has been known for her influence since the 1990s .,"Besides sparking controversy, her works have been praised by music critics.",Yes I own all of her albums. Most of her works have been pretty highly praised by many music critics even to this day
21,61,3,Madonna (entertainer),Do you know where Madonna grew up?,she was born in 1968 and raised in new york city .,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.","She was Born and raised in the state of Michigan, She moved to New York City in 1978 when she first wanted to get a career in dancing."
22,62,1,Burrito,Is it really an authentic Mexican dish? When were burritos invented?,"i ' m not sure , but i do know that the word "" taco "" originated from germany .","The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.","The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls,related to packs carried by donkeys"
23,80,1,India,"Yes I have. I have seen movies that show it, watched documentaries that travel through it but can embarrassingly admit that I know nothing about it. Where is it located?",it ' s the seventh largest country in the us and the seventh - largest country by area .,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.","Well, its the seventh-largest country by area located in southeast Asia!"
24,84,2,Fashion design,I have friends who design bracelets.,"yes , fashion design is also known as interior design .",Fashion designers attempt to design clothes which are functional as well as aesthetically pleasing.,"Yes, the fashion designers also design clothes that are functional too."
25,87,2,Cookie jar,I see.  I love the British Baking show on PBS.  They cook all sorts of interesting things.,"that ' s true . the show aired on march 30 , 2002 .","The show's first episode was aired on 17 August 2010, with its first four series broadcast on BBC Two, until its growing popularity led the BBC to move it to BBC One for the next three series.",I have heard of that show. I heard they moved it from BBC Two to BBC One because it was so popular after the first four seasons.
26,88,3,Battlestar Galactica (2004 TV series),"Wow, no kidding. I saw a parody summary of it once where it was just a bunch of people saying ""I'm a Cylon"" over and over. Accurate?","well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .","In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",Accurate. The Cylons are an android race of their own creation who were at war with the Twelve Colonies.
27,101,1,Hamburger,"I do not, but I'll eat some french fries.",french fries are called chips in the united states .,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.","I love potatoes too, They're called finger chips in India too."
28,102,1,Veganism,"it can also make your metabolism faster, and you become healthier overall.",the german society for nutrition is not recommended for children .,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.","Some people don't recommend it for children, adolescents or during pregnancy, though."
29,452,2,Argentina,Since it is in South America the weather must be nice. What is the weather like?,"i ' m not sure , but it is the capital of the united states .","It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",It's amazing. The country has just 23 provinces and it's capital is Buenos Aires
30,111,2,"Nashville, Tennessee","Cool, I really don't know much about counties over there.",nashville is located in the north part of the cumberland river .,It is located on the Cumberland River in the north central part of the state.,"Nashville, Tennessee is located on the cumberland river"
31,113,1,Stamp collecting,"funny name Philately, I sort of collected when i was a kid","the word "" journalist "" is derived from the french word "" travail "" .","The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.","It is strange! The word is the Engilsh version of the french word ""philatélie""."
32,115,3,Hybrid vehicle,That is a good point.  What else do you know about them?,"i ' m not sure , but i do know that it was designed by maria elektroley .","In 1995 Thomas Muller designed and built a ""Fahrrad mit elektromagnetischem Antrieb"" for his 1995 diploma thesis.",they were first designed. in 95 by thomas muller
33,119,0,Leonardo da Vinci,,"have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .","Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.","Do you love painting? commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting,"
34,120,2,Tokyo,"That's wild, how many people are there roughly if you know?","i ' m not sure , but it is the largest city in the united states .","A 2016 United Nations estimate puts the total population at 38,000,000.",In 2016 the United Nations estimated the population to be about 38 million!
35,122,1,Night owl (person),"I understand, it' hard to wake up early during the day.","in scandinavia early birds are called "" b - people ""","In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".","In Scandanavia, they refer to early birds as A People and night owls as B People! lol  I wish I knew where they came up with that!"
36,123,0,"Portland, Maine","Have you ever been to Portland, Maine? I know about Porland OR but I didnt know there was one in Maine",portland is the most populous city in the united states .,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.","No, I haven't.  I didn't realize there was one in Maine either. Apparently it is the most populous city in the state of Maine."
37,125,1,Xbox,What kind of video games are you  interested in?,xbox is a video game that involves interaction with a user interface to generate visual feedback,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,i like it video games
38,128,3,Pittsburgh,What are some cool things to see there?,"i ' m not sure , but i do know that it consists of three inclined railways .","The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers.","There's plenty, such as 30 skyscrapers, two inclined railways, and a pre-revolutionary fortification."
39,133,3,Ed Sheeran,"Whoa, that really is crazy. I wonder what it was like for him growing up.","i ' m not sure , but i know he was born in 2009 .",He attended the Academy of Contemporary Music in Guildford as an undergraduate from the age of 18 in 2009.,Probably slightly boring because it's in the country but at least he attended the academy of contemporary music after high school.
40,138,2,Mobile phone,Are motorola brands still in the market?,"i ' m not sure , but i know it was introduced in 2003 .","Motorola Mobility was sold to Google in 2012, and acquired by Lenovo in 2014.","Motorola was actually sold to Google back in 2012, and then to Lenovo in 2014."
41,152,3,Sex change,What type of issues require that? That would be very scary,"im not sure but i do know that the term "" gender "" can be used to describe the role of a child ' s gender .","The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",Not much information on that but i did find that the term may also be applied ot the broader process of changing gender
42,163,3,Husky,"yes, that does make alot of sense","yes , they are the fastest dogs to cross - breed .",They are an ever-changing cross-breed of the fastest dogs.,The husky I have is very fast. They are known to be the fastest breed of dogs.
43,167,1,Game of Thrones,Who is you favorite character? I like Tyrion the best.,"i love the song "" a song of ice and fire "" by george r . r . martin .","It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".","Its hard to say, I think George R.R. Martin did such a good job writing all of them in his Game of Thrones novels"
44,177,4,Chevrolet Corvette,i like the corvettes made in the mid 60s but too much buty,"i ' ve never heard of them , but i do know that they were first made in 1972 .","The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",The year after that they were also available in red and black. They were sold slowly. I'm guessing because they were probably so expensive.
45,182,3,Clarinet,Where is Tale from? What other instruments does he play?,he is a legend . he has been around since 2014 .,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.","He was from Macedonia and also played the bagpipe, zurna, recorder and drums...and he composed."
46,189,2,Grey's Anatomy,OK. I used to watch ER back when George Clooney was on it. I'm not that into medical shows though.,"that ' s awesome . it ' s filmed in seattle , washington .","Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.","It was set in Seattle and filed in LA, California."
47,200,2,Pearl Jam,Why are they your favorite band?  What songs are they most famous for?,"i like their debut album "" pearl jam "" , which was released in 2007 .","Formed after the demise of Gossard and Ament's previous band, Mother Love Bone, Pearl Jam broke into the mainstream with its debut album, ""Ten"", in 1991.",They have way to many to choose from. in 91' they burst into the spotlight with the album ten! It was their debut album.
48,220,4,Vancouver Grizzlies,Thats a pity. Did they do ok while they did play?,"i am not sure , but the team won the playoffs in 2001 .","In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.","They won 101 games, but lost 359. So they didn't qualify for the NBA playoffs."
49,233,3,Xbox,"Yes, But you have to pay for xbox live just to be able to watch Netflix on your system. Playstation doesn't charge for that.","i don ' t know , but i do know that it sold over 150 million units worldwide .",It reached over 24 million units sold as of May 2006.,"Thats wild and to think that thing sold over 24 million units sold, People really got it for the games though and didnt care at that time about netflix ect. But yeah I agree paying to watch netlfix is so dumb."
50,254,1,Denmark,What language do they speak there?,denmark is the largest country in the united kingdom .,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,They speak danish wich is not that hard to lear. The Kingdom of Denmark also comprises two autonomous constituent countries
51,271,2,Yoga,"I teach Vinyasa and Hatha. I don't know if I'm special, just had a good opportunity to learn, and good teachers!","the word "" hatha "" is derived from the sanskrit word "" sanskrit ""","The word ""haṭha"" means ""force"" in Sanskrit, and may have this association because the early Indians believed that its practice was challenging and ""forced its results to happen"" on the yogi.",hatha means force
52,273,3,Ketogenic diet,"I would choose the one that allowed the most sugar ha, What are the benefits of this type of diet?",the diet converts energy into glucose to the brain .,The ketone bodies pass into the brain and replace glucose as an energy source.,It is primarily used to treat children with epilepsy as it puts the body in to ketosis and forces ketone bodies in to the brain instead of glucose
53,284,3,Moped,They would rather support a fossil fuel vehicle than a green one.,"i ' m not sure , but i do know that in the united states they regulate the laws of the government .",Countries such as the United States and Canada have federal regulations governing the safety requirements and standards of manufacture.,"It appears so, United States and Canada have federal regulations governing the safety requirements and standards of manufacture."
54,287,3,French cuisine,yeah i know that....,italian cuisine is heavily influenced by italian cuisine and french cuisine .,"During that time, French cuisine was heavily influenced by Italian cuisine.",french cuisine is heavily influenced by italian cuisne
55,288,3,Chevrolet Corvette,Interesting. I don't know much about these cars other than they are fast!,"yes , they are named after a myron scott .","Myron Scott is credited for naming the car after the type of small, maneuverable warship called a corvette.",the corvette was  named by myron scott after a warship called corvette
56,291,4,Classical music,What do you mean by staff notion?,"i ' m not sure , but i do know that classical music is used to create musical instruments .","Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.",It visually demonstrates musical instruments and song by using symbols that are written or printed.
57,294,1,Caffeine,Really? tell me more...,"i ' m not sure , but it is the most regulated drug in the world .","Unlike many other psychoactive substances, it is legal and unregulated in nearly all parts of the world.",Well this is because it is legal and unregulated in nearly all parts of the world! like coffe
58,315,1,"Austin, Texas",Oh yeah I have been there for the SXSW,"austin is also known as the "" live city of music ""","In the 20th century, Austin's music scene had earned the city the nickname ""Live Music Capital of the World.""",I love all of the music and culture in the city.  It is actually considered to be the Live music capital of the world!
59,319,3,Halo (series),"Yeah, I remember her.","yeah , it ' s crazy how old it was . it was created by the owner of the galaxy .","During gameplay, Cortana provides backstory and tactical information to the player, who assumes the role of Master Chief Petty Officer John-117.",I always liked the unusual relationship between Cortana and the Master Chief. It added a strange bit of company to the misery of lonliness that the story sometimes creates.
60,321,3,Gone with the Wind (film),"I think I've heard of Clark Gable before. Anything else you could tell me about the production of the movie, or the plot, etc.?","i ' m not sure , but i do know that it was created by edward howard and joseph .",The original screenplay was written by Sidney Howard and underwent many revisions by several writers in an attempt to get it down to a suitable length.,The original screenplay was rewritten several times in an attempt to shorten the film.  The film ended up still being over 3 hours long
61,334,3,Cat,"Many Egyptians worshipped the goddess Bast, who had a woman’s body and a cat’s head, that is interesting.",cats can see in near darkness . they can also see in darkness .,They can see in near darkness.,It is interesting! And cats can see in near darkness.
62,338,3,Coca-Cola,"Not at all, they have really changed the recipe to be more manufacturable, like with high fructose corn syrup.","i ' ve never heard of that , but i do know that coca cola is owned by pepsico .","The Coca-Cola Company produces concentrate, which is then sold to licensed Coca-Cola bottlers throughout the world.","I would drink their concentrate by the tap! Hey, was that cocaine plant that was once in it?"
63,343,2,Florida,"That makes sense, the Florida climate does seem very good for growing stuff, Do you know anything about Miami? I was thinking of going there.","i ' m not sure , but miami is the most populous urban area in the us .",The Miami metropolitan area is Florida's most populous urban area.,"I know that Miami is an urban area, and is the most  populous of the urban areas in Florida"
64,358,2,Stephen Hawking,"Yes, I dont know either...",he was also ranked as the greatest novelist of all time .,"In 2002, Hawking was ranked number 25 in the BBC's poll of the 100 Greatest Britons.","In 2002, he ranked number 25 as one of the 100 Greatest Britons."
65,368,1,Boxer (dog),"I am a dog person. I have two dogs that I rescued, Ike & Sneetch. Boxers are gorgeous dogs.",do you have a german shepherd ? they are medium sized dogs from germany .,"The Boxer is a medium-sized, short-haired breed of dog, developed in Germany.","Do you like the big breeds or the small breeds? I like boxers as they're medium sized, and short-haired so easy to groom."
66,376,3,Cheesecake,Can't go wrong with Cheescake Factory if you have one near you.  How often to you eat cheesecake for dessert?,i ' m not sure but i do know that cheesecake is one of the layers of dessert .,Cheesecake is a sweet dessert consisting of one or more layers.,"I've been there! Not to often, but when I want a sweet dessert!"
67,382,1,System of a Down,I like their fast tempo and clear lyrics. I can always understand what they are singing about.,"they have released three studio albums , "" radioactive "" , and "" meteora "" .","The band achieved commercial success with the release of five studio albums, three of which debuted at number one on the ""Billboard"" 200.",I have trouble understanding them occasionally. The band achieved success with the release of their five studio albums.
68,388,2,Pudding,I don't think that sounds very appetizing. I don't think I would like that texture with my meat.,"i ' m not sure , but i do know it ' s called biscuits in the united states .","In the United States and some parts of Canada, ""pudding"" characteristically denotes a sweet milk-based dessert similar in consistency to egg-based custards, instant custards or a mousse, often commercially set using cornstarch, gelatin or similar collagen agent such as the Jell‑O brand line of products.",In the U.S. and Canada we mean a sweet milky desert. That's the way I'd like to keep mine.
69,392,1,Jamaica,And it's also home to Bob Marley.  One of the greatest musicians of all time.,he is a great rapper . he was an english singer and songwriter .,"Robert Nesta Marley, OM (6 February 1945 – 11 May 1981) was a Jamaican singer-songwriter who became an international musical and cultural icon, blending mostly reggae, ska and rocksteady in his compositions.",Bob Marley was one of the best singers to exist and also really helped push weed as something that is not a problem
70,394,2,Kayaking,I did not know it was that old! Do you know anything else interesting about it?,"i ' m not sure , but i do know that kayaks were used in egyptian tombs .","They used driftwood and sometimes the skeleton of whale, to construct the frame of the kayak, and animal skin, particularly seal skin was used to create the body.","Well speaking of the old kayaks, they were actually made of driftwood and sometimes whale skeleton was used to construct the frame!"
71,401,2,Welsh Corgi,Do you know when that was?,"i ' m not sure , but the pembroke welsh corgi is the cardigan .",Two separate breeds are recognized: the Pembroke Welsh Corgi and the Cardigan Welsh Corgi.,"Not really, but one interesting thing is that there are two different types of Corgis."
72,405,1,French Bulldog,"I am not sure I know them,   Are they like very small bulldogs?",they are the second most popular dog in 2014 .,"In 2014, they were the fourth most popular registered dog in the United Kingdom and in the U.S. the sixth most popular AKC registered dog breed.",Yeah exactly! They were one of the most popular registered dogs in the United Kingdom.
73,405,2,French Bulldog,"They are pretty cute I think, are French Bulldogs originally from the United Kingdom?",they are a cross between england and ratters .,Frenchies were the result in the 1800s of a cross between bulldog ancestors imported from England and local ratters in Paris (France).,They were actually from the 1800s when they crossed bulldogs and ratters in Paris.
74,410,1,Veterinary medicine,Yes tell me why you wanted to be a veterinarian?,"i ' m not sure , but i do know that it ' s often used to be restricted to the treatment of animals .","In many cases, the activities that may be undertaken by a veterinarian (such as treatment of illness or surgery in animals) are restricted only to those professionals who are registered as a veterinarian.","Well, there was once a time I did, but I've wanted to be many things. But I've always loved animals. Especially cats."
75,411,3,Sunrise,Is it? Can you tell me more about how it's involved in mythology?,"i ' m not sure , but i do know that the illusion of the earth has been around since the 15th century .","The illusion of a moving Sun results from Earth observers being in a rotating reference frame; this apparent motion is so convincing that most cultures had mythologies and religions built around the geocentric model, which prevailed until astronomer Nicolaus Copernicus first formulated the heliocentric model in the 16th century.","Well in earlier times it was believed to be geocentric, aka the sun rotating around the earth."
76,415,1,Dust,It is really gross if you think about it.  What is the best way to get rid of the dust in my home?,"i ' m not sure , but i do know that dust cells are largely found in human life .","Dust mites are microscopic arachnids whose primary food is dead human skin cells, but they do not live on living people.",Vacuuming frequently and dusting - but some homes have dust mites also and they can create a lot of dust.
77,423,1,Walmart,I didn't realize it ws multinational?  So is there a Walmart in France?,"i ' m not sure , but walmart is also owned by brazil and chile .","It has wholly owned operations in Argentina, Chile, Brazil, and Canada.","I don't know, but they do operate in Brazil and Canada."
78,426,1,The Beatles,Do you know what their best album was?,"i ' m not sure , but i do know that they experimented with several styles of rock and roll .","Rooted in skiffle, beat and 1950s rock and roll, the Beatles later experimented with several musical styles, ranging from pop ballads and Indian music to psychedelia and hard rock, often incorporating classical elements and unconventional recording techniques in innovative ways.","No but they mixed skiffle, beat and 1950s rock to make a new musical style. They became popular across the whole world."
79,430,1,Greece,"Oh wow, I actually know little about it. Would you mind telling me a bit about why you'd like to go there?",it ' s a great place to visit . greece is the highest mountain in greece .,"Eighty percent of Greece is mountainous, with Mount Olympus being the highest peak at .","First off the mountains are gorgeous, since eighty percent of Greece is mountainous."
80,442,0,Orc,,have you ever played the lord of the rings ? it ' s a fictional humanoid creature .,An orc (also spelled as ork) is a fictional humanoid creature that is part of a fantasy race akin to goblins.,Orcs are such interesting creatures seen in fantasy genres.
81,442,1,Orc,You are speaking of the creatures that can be in a video game such as Everquest?,"i am not sure , but i do know that orcs are based on the lord of the rings .","While the overall concept of orcs draws on a variety of pre-existing mythology, the main conception of the creatures stems from the fantasy writings of J. R. R. Tolkien, in particular ""The Lord of the Rings"".",Yeah! They are usually seen in video games or fantasy novels. I think the first concept of them started with Tolkien.
82,444,3,Christmas,"I respect your type of view, so how do you spend your time on Christmas you don't celebrate at all?","i am not sure , but i do know that jesus was born in december 1989","Although the month and date of Jesus' birth are unknown, by the early-to-mid fourth century the Western Christian Church had placed Christmas on December 25, a date that was later adopted in the East.","I still celebrate Christmas, but more so as a family gathering holiday like Thanksgiving. In fact the true birth date of Jesus is unknown so December 25th is just an arbitrary day that was chosen."
83,449,3,List of tourist attractions in Paris,"I heard the eiffel tower isn't that tall at all, do you know?","yes , it is the tallest tower in the world .","The tower is tall, about the same height as an 81- building, and the tallest structure in Paris.",It is about as tall as an 81 story building and is the tallest structure in Paris.
84,455,0,Lizard,I been thinking of getting a pet lizard. Any idea on which I should buy?,i have a pet iguana . they range in size from chameleons to a few centimeters long .,Lizards range in size from chameleons and geckos a few centimeters long to the 3 meter long Komodo dragon.,"I would recommend a chameleon or gecko as they are very small. But if you are looking for a larger pet, go for the Komodo dragon."
85,468,0,Botulinum toxin,Hi.  I'm thinking about getting the botulinum injections and would love to know more about them.,it ' s a chemical substance that ' s used for food .,"Botulinum toxin (BTX) is a neurotoxic protein produced by the bacterium ""Clostridium botulinum"" and related species.",Botulinum is a toxin produced by the bacteria Clostridium Botulinum.
86,474,1,Jeopardy!,Did you win?,"no i haven ' t , but i do know that jeopardy has been around since the 1920s .","Since its inception, the daily syndicated version has featured Alex Trebek as host and Johnny Gilbert as announcer.","I did not, but Alex Trebek was the host and I got to meet him!"
87,482,2,"Syracuse, New York",Is there anything specific to culture or history related to Syracuse that makes it unique?,"i ' m not sure , but i do know that the city of new york is located in the french city of texas .","Syracuse was named after the original Greek city Syracuse (Siracusa in Italian), a city on the eastern coast of the Italian island of Sicily.",I think it's neat that Syracuse is named after a city on the eastern coast of Sicily!
88,482,3,"Syracuse, New York","Oh, huh, I guess I never would have thought that was the case. I wonder why they chose that! Maybe there's a big Italian community there or something. What else specific can you tell me?",new york city is the fourth most visited city in the us .,"In 2010, ""Forbes"" rated Syracuse fourth in the top 10 places in the U.S. to raise a family.","In 2010, Forbes rated Syracuse fourth in the top ten places to raise a family in the U.S. I guess I'm not the only one who loves the city!"
89,502,2,Coffee,That's interesting!  Do you know any other interesting facts about coffee?,well the plant was exported from africa to africa .,The plant was exported from Africa to countries around the world.,The plant was exported from Africa to countries around the world
90,503,0,Shift work,Hi. We just started alternating shift work where I work. I think I like it.,that ' s awesome ! i ' ve been working on the clock for 10 hours .,"Shift work is an employment practice designed to make use of, or provide service across, all 24 hours of the clock each day of the week (often abbreviated as ""24/7"").",I quite like it too. It's basically a practice designed to make use of all 24 hours of each day.
91,510,1,Iced tea,I didn't know that.  We also buy Lipton tea most often.,"i ' m not sure , but i do know that it ' s named after the royal company .",The company is named after its founder Thomas Lipton.,"Yes Lipton is an all time favorite, In fact  The company got its name after its founder Thomas Lipton"
92,510,2,Iced tea,When did he found the company?,"i ' m not sure , but i do know that it originated in michigan .","Lipton was born in a tenement in Crown Street, Glasgow on 10 May 1848.","It was founded way back in May 10th of 1848, Actually Lipton was born in a tenement in Crown Street in Glasgow."
93,513,3,Divorce,"Yeah ,disagreements over flimsy stuff and I just realized we were never compatible",that ' s true . divorce is also known as a dissolution of divorce .,A person must state the reason they want a divorce at a divorce trial and be able to prove that this reason is well-founded.,"The grounds for filing a divorce must be proved beyond reasonable doubt before its granted by the state, person must state the reason they want a divorce at a divorce trial and be able to prove that this reason is well-founded."
94,521,1,Snake,"Yes, lol. We live in a mountain community, so they are everywhere. Luckily we have one had one on our drive way a few years ago.","i ' ve never heard of them , but i do know that snakes have eyelids and external ears .","Legless lizards resemble snakes, but several common groups of legless lizards have eyelids and external ears, which snakes lack, although this rule is not universal (see Amphisbaenia, Dibamidae, and Pygopodidae).","Does it help if you think of them as ""legless lizards"" ;-) Or are you not crazy about reptiles in general?"
95,530,1,Southern Baptist Convention,"It could be, that shows you how much I know what I am getting into?","i ' m not sure , but i do know that it ' s a part of the irish ancestry .","Presbyterianism is a part of the Reformed tradition within Protestantism which traces its origins to the British Isles, particularly Scotland.","LOL. Well, I hope you enjoy yourself. I'm a Presbyterian, we trace our roots to Scotland."
