,episode_idx,round,topic,message,response,knowledge,gold
34,228,1,Katy Perry,I love her music! She has so many great songs!,"yes , she is a great singer . she sang in church as a child .","After singing in church during her childhood, she pursued a career in gospel music as a teenager.","Yeah, she got started singing in church during childhood. She sang gospel as a teenager."
35,229,0,The Little Mermaid (1989 film),,"do you like disney movies ? i really like the 1989 disney movie "" little mermaid "" .",The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,"I absolutely loved The Little Mermaid as a child! It came out in 1989, a year after I was born!"
36,234,3,New York City,"That's insane, no wonder there are so many opportunities for entrepreneurship there.",i agree ! it ' s also known as the media capital for the world !,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.","Absolutely! So much opportunity! New York City is actually known as being the media, cultural and financial capital of the world! It's also huge in the political, sporting and entertainment industries!"
37,241,3,Rum and Coke,Would coconut taste good with a rum and coke?,"i ' m not sure about coconut , but i do know that it is a high ball cocktail","Rum and Coke, or a Cuba Libre (; , ""Free Cuba"" libre here an adjective, not a verb), is a highball cocktail consisting of cola, rum, and traditionally lime juice on ice.",I would suppose so.  Coconut has a smooth taste too.  I may even be so bold as to say using a little pina colada cocktail could really brighten the drink.
38,243,2,Beetroot,"Well, here I am a beet farmer and I didn't even know that about medicinal uses!",interestingly beets were also used in wine in the middle 19th century,"During the middle of the 19th century, wine often was coloured with beetroot juice.",beetroot juice was also used in wine to color it in the middle of the 19th centuary
39,247,3,Blue,"I wonder why when people feel sad, that they say they feel 'blue'.","i ' m not sure , but i do know that blue is an important color in decoration and art .",Blue has been an important colour in art and decoration since ancient times.,"I really don't know, perhaps it has some association with how prevalent the color blue has been in decoration and art even back in ancient times."
40,248,2,Christianity,"That's basically 1/3 of the world, wow!",christianity makes up the majority of people in 158 different countries .,Christians make up a majority of the population in 158 countries and territories.,Yeah! They make up the majority of the population in 158 countries.
41,250,2,Stephen Hawking,"Wow, I knew he was supposed to die much earlier, but a whole 50 additional years? That's incredible.","yep , he was a great theoretical physicist and author","Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.",He was one of the most important physicist and cosmologist of our time
42,252,0,Agriculture,"Thinking about certain things to mature in in college. I live in the midwest and agriculture is a possible major. Still not sure if it's right for me, though.",agriculture is actually the cultivation of animals and plants .,"Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",Agriculture is the cultivation and breeding of plants and animals for food and other uses. Important field.
43,255,2,Pizza,"so where did the pizza originate from, Italy?",the word pizza has been around since 997 ad,"The word ""pizza"" was first documented in AD 997 in Gaeta and successively in different parts of Central and Southern Italy.",The term pizza was actually first used in 997 AD in Central and Southern Italy
44,259,0,Chocolate,,do you like chocolate ? it is typically sweet and usually brown .,"Chocolate is a typically sweet, usually brown food preparation of ""Theobroma cacao"" seeds, roasted and ground.",Chocolate while typically a sweet delicacy  usually prepared with cacao seeds toasted and ground
45,262,4,Swimming,So we are made to swim! I always knew that humans had a connection with water.,"yes , and since our body is less dense , the water supports our weight .","Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.","We certainly do - the human body is only slightly less dense than water, so our bodies are supported by the water when we're swimming!"
46,263,1,Philip Larkin,"Not really, no. Do you know anything about him?",i know that he was a jazz critic in 1971 .,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",Well he was an american poet. He also was a jazz critic on  The Daily Telegraph in the 60's
47,264,2,Pizza,"yes, my favorite type is actually with a pesto sauce. what's your favorite kind?",the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.","I like classic tomato and cheese. The term ""pizza"" actually only dates back to the 10th century."
48,267,1,Seattle,are there any major businesses that are located there?,"i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us","In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.",not sure about businesses but it's the fastest growing major city in the US
49,276,2,Washington Wizards,"Oops, sorry. I didn't get to say that that is so great.  I don't know much about basketball teams.  I didn't know teams went through so many name changes.  Have you won many games or championships?","i haven ' t won many , but i have been a fan since 1963 when they moved to baltimore .","In 1963, they relocated to Baltimore, Maryland and became the Baltimore Bullets, taking the name from previous team of the same name.",Not since I've been with them. Also in 1963 they moved to Baltimore Maryland and because the Baltimore Bullets.
50,279,1,Hoarding,I guess it is OK to hoard up a certain limit. Then it becomes more trouble than good.,hoarding and caching are common behavior in bird species,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.",lol really? hoarding and caches are behaviors in many birds and rodents
51,280,3,Linebacker,oh wow well i dont know much about football so thanks for the info,you ' re welcome . they ' re often regarded the most valuable position in the defense .,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.","Your welcome. For the defense, a linebacker is considered the most important, since they add extra protection and give hard hits when it's needed."
52,284,2,Moped,True. They are great for shop hops in the city.,"that ' s true . in some countries , electric bicycles are regulated by the government .",Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,Its still better than an electronic bike because governments are enacting laws after their popularity.
53,286,1,Weight loss,"I've heard that.  I went through a period of actively losing weight a year or two ago, I lost 40 pounds.  How are you doing?",that ' s great ! weight loss happens when your body expends more energy than it ' s absorbing .,Weight loss occurs when the body is expending more energy in work and metabolism than it is absorbing from food or other nutrients.,"Well I've been actively exercising for 6 weeks and I haven't lost a thing. Since weight loss occurs when the body expends more energy then it takes in, I must be still overeating."
54,289,1,Fruit picking,That sounds like a good time! What kind of fruit?,i picked all kinds of fruits . apple picking was one of them .,Apple picking is an activity found at apple farms.,"Apples!  Apple picking was so fun, my uncle used to have tours and people would pay to do it."
55,294,2,Caffeine,I didnt realise it was a psychoactive drug.  What does it do to a person that drinks it?,it stimulates a certain portion of the nervous system !,Caffeine also stimulates certain portions of the autonomic nervous system.,"Well basically stimulates certain portions of the autonomic nervous system, actually sound really bad to be drinking it every day"
56,296,3,Broccoli,"Women are always right in the end, aren't they? Just a fact of life. Maybe they've eaten more broccoli than we have, hmm...","i think you ' re right ! since the roman times , it has been one of the most valuable foods among italians !","Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.",It's a given that women are always right!  And who knew that broccoli has been considered a uniquely valuable food among Italians.  I bet SHE doesn't know that!
57,301,1,Democratic Party (United States),That's true. I recently became a Democrat after years of voting for the GOP,i ' m glad to hear that ! the democrats have been around since 1854 to fight the kansas - nebraska act .,"It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.",Wow! That's very interesting. I can't believe it dates clear back to 1854! What else do you know about it?
58,334,0,Cat,"I am a cat lover, how can't someone love something so cute.",i love cats too ! they are so small and furry .,"The domestic cat (""Felis silvestris catus"" or ""Felis catus"") is a small, typically furry, carnivorous mammal.",I love cats! Their official name is Felis catus and they are generally carnivorous.
59,336,2,Yoga,Interesting!  Where did yoga originate?,"i ' m not sure , but it originated in india .","Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",Ancient India.
60,338,2,Coca-Cola,"Oh yeah, it's so weird to think of how old these soft drinks are in origin!",i know ! i love how the name comes from two original ingredients .,"The drink's name refers to two of its original ingredients, which were kola nuts (a source of caffeine) and coca leaves.",Can you believe the original ingredient of coke is kola nuts and coca leaves? Now that's nuts!
61,340,3,Cancer,Absolutely not! Not after seeing her decline.,"i ' m so sorry to hear that . i know it ' s hard to lose someone you love . there are a lot of environmental factors contributing to cancer , such as obesity , infections , and radiation .","Common environmental factors that contribute to cancer death include tobacco (according to one estimate, accounting for 25–30% of deaths), obesity (30–35%), infections (15–20%), radiation (both ionizing and non-ionizing, up to 10%), lack of physical activity, and environmental pollutants.","I am glad to hear that :) I think the next biggest causes of cancer are obesity, infections, radiation and environmental pollutants."
62,343,4,Florida,"That's neat, I wonder what the southern most part of Florida is, maybe the Florida Keys?","i ' m not sure , but i do know that the keys is an archipelago in the southern portion of florida","The Florida Keys are a coral cay archipelago located off the southern coast of Florida, forming the southernmost portion of the continental United States.","Yes, that's right!  The Keys are actually a coral cay archipelago which is situated off the southern Florida coast"
63,355,3,Chicken,"that is true, I wonder how we managed to get them to grow in such numbers though, that is astounding","i ' m not sure , but i do know that over 50 billion of them are raised for meat and eggs .","More than 50 billion chickens are raised annually as a source of food, for both their meat and their eggs.","Its because we have more than 50 billion chickens that are raised annually on farms as a source of food, for both their meat and their eggs."
64,362,1,Stephen King,"He's definitely quite famous as far as I know, when was he born?",he was born in 1947 ! he is also an author of supernatural fiction and science fiction .,"Stephen Edwin King (born September 21, 1947) is an American author of horror, supernatural fiction, suspense, science fiction, and fantasy.","Stephen King was born in 1947, so I guess he's 71? What a prolific writer!"
65,367,1,Alcohol,Is beer not an alcoholic drink?,"yes it is , it is the most consumed alcoholic drink in the whole world","Beer is one of the oldest and most widely consumed alcoholic drinks in the world, and the third most popular drink overall after water and tea.",yes it is but is made with fermented yeast and is one of the oldest and most consumed forms of alcohol
66,367,4,Alcohol,Any history of how the earliest wine were made?,wine has been around for a long time in china,"Wine (Chinese: ""pútáojiǔ""  ""grape alcohol"") has a long history in China.",China has its longest history in China
67,369,1,Nintendo,My sons play a ton of them. Which one is your favorite?,"i would have to say pokemon , its one of my favorite games of all time .","Nintendo is one of the world's largest video game companies by market capitalization, creating some of the best-known and top-selling video game franchises, such as ""Mario"", ""The Legend of Zelda"", and ""Pokémon"".","Mostly the Nintendo classics like Zelda, Pokemon, and Mario games. They were a huge part of my childhood."
68,378,1,Heavy metal music,I used to thoroughly enjoy heavy metal when i was younger during my teenage years! Who are some of the best heavy metal bands?,"i ' m not really a big fan of heavy metal myself , but there are a lot of bands that are considered heavy metal , like black sabbath , deep purple , etc .","In 1968, three of the genre's most famous acts, Led Zeppelin, Black Sabbath and Deep Purple were founded.","Well we could go old school and nostalgic with 3 of the biggest + baddest: Led Zepellin, Black Sabbath, and Deep Purple! Did you have a favorite?"
69,403,0,Michael Phelps,"Michael Phelps,the greatest swimmer ever",michael phelps is a great swimmer . he was born in 1985 .,"Michael Fred Phelps II (born June 30, 1985) is an American retired competitive swimmer and the most successful and most decorated Olympian of all time, with a total of 28 medals.","Oh yes, he is the  most decorated Olympian of all time, with a total of 28 medals."
70,416,1,Game show,"Oh yeah I really like Jeopardy and stuff like that, I guess those are trivia shows not game shows though.",that ' s right ! the first game show was called spelling bee in 1938 !,"The very first television game show, ""Spelling Bee"", was broadcast in 1938.","The very first TV game show was called Spelling Bee, it was broadcast back in 1938!"
71,427,0,Ed Sheeran,i like ed sheeran can you tell me a bit more about him?,he was born in 1991 and is a songwriter and guitarist .,"Edward Christopher Sheeran, (born 17 February 1991) is an English singer, songwriter, guitarist, and record producer.","He is a english singer, songwriter, guitarist, and record producer"
72,427,3,Ed Sheeran,quite the record any thing else,"in 2011 , he independently released an extended play .","In early 2011, Sheeran independently released the extended play, ""No.","In early 2011, he independently released the extended play ""No 5 Collaborations Project"""
73,430,2,Greece,"Really?? I would have guessed it was mostly plateaus. It has a bunch of history too, doesn't it?","yes , it does have a lot of history . it ' s also the birthplace for western philosophy and olympic games .","Greece is considered the cradle of Western civilization, being the birthplace of democracy, Western philosophy, the Olympic Games, Western literature, historiography, political science, major scientific and mathematical principles, and Western drama.","Oh yeah, it is basically considered the cradle of Western civilization and the birthplace of democracy!"
74,431,2,Carnivore,I think a nice steak tastes the best.,do you like your steaks grilled or pan fried ?,"Steaks are usually grilled, but they can be pan-fried, or broiled.","yes and stakes are usually grilled, pan-fried, or broiled."
75,459,3,Brewery,"Damn, that's way older than I even imagined!",brewing has been a part of the western economy since the 19th century !,Since the nineteenth century the brewing industry has been part of most western economies.,"Sure is, and its been a major part of our economy since the 19th century and most western modern economies."
76,461,1,Chocolate,I love chocolate. It's really sweet.,it can be made in a liquid or block .,"It is made in the form of a liquid, paste, or in a block, or used as a flavoring ingredient in other foods.","Chocolate can be in the form of liquid, paste, or a block."
77,462,2,Veganism,Are there different types of Veganism?,"yes , ethical vegans are people who don ' t use any animal products at all .","The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.","The first type is ""ethical veganism"" which is basically abstaining from the use of animals at all in any part of their life."
78,468,0,Botulinum toxin,Hi.  I'm thinking about getting the botulinum injections and would love to know more about them.,i ' ve heard of it . it ' s a protein that is produced by bacteria .,"Botulinum toxin (BTX) is a neurotoxic protein produced by the bacterium ""Clostridium botulinum"" and related species.",Botulinum is a toxin produced by the bacteria Clostridium Botulinum.
79,482,2,"Syracuse, New York",Is there anything specific to culture or history related to Syracuse that makes it unique?,"well , it was originally named after a greek city called syracuse , which was located in sicily .","Syracuse was named after the original Greek city Syracuse (Siracusa in Italian), a city on the eastern coast of the Italian island of Sicily.",I think it's neat that Syracuse is named after a city on the eastern coast of Sicily!
80,485,3,Bob Ross,Yeah I know a lot of kids are getting into him but that is a great thing,"yeah , as a kid he cared for animals like snakes , armadillos , and even alligators !","As a child, Ross entertained himself by caring for injured animals, purportedly including an armadillo, snake, and alligator.","Oh, yes, and as a child himself, he was very kind to animals! Isn't that sweet"
81,503,4,Shift work,"Yes, because if you have to sleep during the day, it can be hard on the one who doesn't have to.",exactly . shift work also increases the chance of developing disorders .,Shift work increases the risk for the development of many disorders.,"Shift work also causes risk to develop many disorders, so it really has a risk with it/"
82,507,2,Inline skates,"so they are different, I thought roller blades and inline skates were the same",the modern inline skate was developed for ice skating,"The modern style of inline skates was developed as a substitute for ice skates, for use by a Russian athlete training on solid ground for Olympic long track speed skating events.",It's actually pretty interesting inline skates were developed as a substitute for ice skates
83,510,1,Iced tea,I didn't know that.  We also buy Lipton tea most often.,"that ' s awesome ! the company was named after thomas lippton , the founder .",The company is named after its founder Thomas Lipton.,"Yes Lipton is an all time favorite, In fact  The company got its name after its founder Thomas Lipton"
84,525,1,Tattoo,"That is good, although my opinion is not the end all be all, I just do not get it, I change my wallpaper every week on my phone, I dislike something so permanent","they fall into 3 categories , purely decorative , symbolic , and pictorial",Tattoos fall into three broad categories: purely decorative (with no specific meaning); symbolic (with a specific meaning pertinent to the wearer); pictorial (a depiction of a specific person or item).,"Tattoos fall into three broad categories, decorative, symbolic and pictorial. I like the ideal of Symbolic which sounds nice until you realize it will remind you of that person that passed or even your entire life. Maybe you should get a foot tattoo?"
85,528,3,Creed (band),"Pity.  Im sure they would have been a good band to watch live.  The last band I watched live was Chilli peppers, they were good.  What about you?",i ' ve never seen them live but i know they were formed in 1983 in la .,Red Hot Chili Peppers are an American funk rock band formed in Los Angeles in 1983.,"Oh I'm a big fan of the Red Hot Chili Peppers, Stadium Arcadium is my favorite album. They are from Los Angeles"
86,543,3,Brunch,When did it become a popular meal?,"i ' m not sure when it became popular , but it originated in the 19th century in england .",Brunch originated in England in the late 19th century and became popular in the United States in the 1930s.,It was popular in England back in the 19th century and became popular over here in the 30s.
87,554,3,Jane Austen,Was it common for women to be writing during that period?,"i ' m not sure , but i do know that she wrote six full length novels .","Her six full-length novels have rarely been out of print, although they were published anonymously and brought her moderate success and little fame during her lifetime.",Not really but times were changing. Her six full-length novels have rarely been out of print today.
88,565,2,Cappuccino,"I always prefer cream.  I actually don't like the taste of milk.  Odd, I know",i ' m the opposite . i like cream because it has high fat levels .,Cream has high levels of saturated fat.,That is a little odd but cream has a higher saturated fat content so it makes it taste better than milk.
89,566,3,Beetroot,I gotta try it one day. :),you should ! beets are also used for medicinal purposes .,"Other than as a food, beets have use as a food colouring and as a medicinal plant.","Of course there are many others uses of beets, but most people think of the dark red color, which is sometimes used in food coloring."
90,567,1,Garfield,"Yes, i remember seeing that name. did you read those comics?",i did not read them but i do know that it was published in 1978 .,"Published since 1978, it chronicles the life of the title character, the cat Garfield; Jon Arbuckle, his owner; and Jon's dog, Odie.","Not really but had a lot of it. It was Published since 1978,"
91,571,1,Romeo and Juliet,"I do like plays, but I've only seen a few, and I've never seen Romeo and Juliet! What it about?",it ' s a play that was one of the most popular in his lifetime,"It was among Shakespeare's most popular plays during his lifetime and along with ""Hamlet"", is one of his most frequently performed plays.","its a classic love story,  It was among Shakespeare's most popular plays during his lifetime and along with ""Hamlet"""
92,577,0,The Rolling Stones,,have you ever heard of the rolling stone ? they were formed in 1962 in london .,"The Rolling Stones are an English rock band formed in London, England in 1962.",The Rolling Stones are one of the greatest rock bands in the world.
93,578,1,Philip Larkin,I never heard of him before.What kind of books he writes?,"i ' m not sure , but i know he published his first poetry book in 1945 .","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).","He writes poetry and novels.  His first book of poetry was published in 1945. It was titled ""North Ship"""
94,599,2,Strawberry,"No kidding, I didn't realize it has been around for over 300 years! Crazy to think how many people have been enjoying them.",i know ! it ' s crazy how much people appreciate it for its aroma and its juicy texture .,"The fruit is widely appreciated for its characteristic aroma, bright red color, juicy texture, and sweetness.","Oh yes, it is loved all over the world. The fruit is widely loved for its characteristic aroma, its beautiful red color and juicy texture!"
95,603,2,Arnold Schwarzenegger,I wasn't expecting him to be so successful as Governor. From what I know he did great though,yeah he started weight training when he was 15 !,Schwarzenegger began weight training at the age of 15.,"Yeah, he's also a good weight lifter too. He started lifting when he was 15 years old."
96,616,2,Flash (Barry Allen),wow! you really know your comics!,i know a little bit . his power is mainly superhuman speeds .,His power consists mainly of superhuman speed.,His main power is that he is super fast.
97,619,4,YouTube,"Well, the policy is clear, i like that there is no bad stuff there so kids can watch it too",yea videos deemed inappropriate are only available for registered users to affirm their age .,Videos deemed potentially inappropriate are available only to registered users affirming themselves to be at least 18 years old.,A lot of weird inappropriate videos targeted at kids like the spiderman and elsa sexuallized videos that take advantage.
98,622,2,Country music,"I am part of the working class, that must be why I like it so much lol. One of my favorite artists is Luke Bryan he is consistently one of the top country artists. What else do you know?",i know that it takes roots from folk music .,It takes its roots from genres such as folk music (especially Appalachian folk music) and blues.,"Luke Bryan is a good country music star one of the best, also country is diverse having especially being popular throughout the Appalainian mountains."
99,629,3,Bank teller,I gotcha. That's understandable. Anything you could tell me that an expert might tell me?,the job also requires a lot of friendly interaction with the customer,"The position also requires tellers to be friendly and interact with the customers, providing them with information about customers' accounts and bank services.",For that position you have to interact with and be friendly to the customers and tell them what the bank offers like accounts and such
