,episode_idx,round,topic,message,dodeca_response,memnet_response,knowledge,gold,dodeca_label,memnet_label
51,228,3,Katy Perry,That would make sense. Isn't Kate Huson an actress or model?,"yes , she is . her first album was released in 2008 .","i ' m not sure , but i do know that she gained fame in 2008 .","Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".","Yeah, that's probably one of the reasons she changed it. She became famous in 2008 when her 2nd album was released containing ""Hot n Cold"" and ""I Kissed a Girl"".",1,0
52,233,3,Xbox,"Yes, But you have to pay for xbox live just to be able to watch Netflix on your system. Playstation doesn't charge for that.","well xbox live has been around since 2006 , so it must be pretty popular now .","i don ' t know , but i do know that it sold over 150 million units worldwide .",It reached over 24 million units sold as of May 2006.,"Thats wild and to think that thing sold over 24 million units sold, People really got it for the games though and didnt care at that time about netflix ect. But yeah I agree paying to watch netlfix is so dumb.",1,1
53,234,4,New York City,That's awesome! What are some popular attractions and landmarks in New York?,"i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !","i ' m not sure , but i do know that the wall wall street is a major city in the south - street .","Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.","For sure the World Trade Center and Empire State buildings. But many tourists also like to visit Wall Street. It's an eight-block-long street.  I never realized it was that long, did you?",1,1
54,240,3,Boxer (dog),Where does the boxer originate from?,they were bred from old english bulldogs and now they are extinct .,they were bred from the old english bulldog and the bullenbeisser .,The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,They were a mix between the old english bulldog and the now extinct bullenbeisser.,1,0
55,254,4,Denmark,That doesn't sound that big. Are they into producing anything special?,"i am not sure about that , but the united kingdom emerged in 10th century",i am not sure but algeria is the 10th century in the 14th century,The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,"nothing i know of but, The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation",1,1
56,267,0,Seattle,seattle is my favorite city in the world!,"i ' ve never been to seattle , but i know it ' s on the east coast .",seattle is a seaport city located on the west coast of the united states .,Seattle () is a seaport city on the west coast of the United States.,me too!!! it's such a beutiful seaport city,1,0
57,272,1,Yellow,Oh interesting! What else can you tell me?,the dominant wavelength is 5 . 7 million nm .,it is evoked by light with a dominant wavelength of roughly 570590 nm .,It is evoked by light with a dominant wavelength of roughly 570590 nm.,yes has a wavelength of roughly 570590 nm.,1,0
58,283,3,Nirvana (band),"Yeah I loved that song too! I am having a hard time remembering the drummers name, can you recall?","i don ' t know the name of the drummer , but i do know that they had the longest lasting drummer of all time .","i don ' t know much about that , but i do know that he joined the band in 2003 .","Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.","They actually went through a succession of drummers but you are probably thinking of the one they ended up with, Dave Grohl.",1,1
59,287,1,French cuisine,ohh.... i am also,"french cuisine has been around for a long time , in fact , in the 15th century , a chef from france wrote a book about it .",me too ! it ' s crazy how it was used in the 14th century .,"In the 14th century Guillaume Tirel, a court chef known as ""Taillevent"", wrote ""Le Viandier"", one of the earliest recipe collections of medieval France.",in the 14th century we find some of the first recipes,1,0
60,287,3,French cuisine,yeah i know that....,in that time italian cuisine was influenced by french cuisine,italian cuisine is heavily influenced by italian cuisine and french cuisine .,"During that time, French cuisine was heavily influenced by Italian cuisine.",french cuisine is heavily influenced by italian cuisne,1,1
61,660,2,Surfing,"Makes sense, doesn't Hawaii's North Shore have a lot waves in December ?","i ' m not sure about hawaii , but i know that surfing began in ancient greece .","yes , the history of surfing began with the ancient polynesians .",The history of surfing began with the ancient Polynesians.,"I guess so, the history of surfing DID begin with the ancient Polynesians",1,0
62,291,3,Classical music,So what differentiate  classical music from other  genres?,european music is generally distinguished from european classical music .,classical music is one of the most popular forms of classical music .,"The major time divisions of Western art music are as follows:  European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century.",It is mostly different though using different staff notation.,1,1
63,292,3,Cat,I think its cool that they have such independent personalities,they really do . they also have a poorer sense of smells than humans,"that is true , they have poorer color vision .","Like most other mammals, cats have poorer color vision and a better sense of smell than humans.","Yes, that is one of the fun things about them. The do have poor color vision though, but also have a better sense of smell than people do",1,0
64,293,3,Guitar,"I know that part, but I do not know how to play music.","there are actually three types of acoustic guitars : classical , nylon , and steel .","there are three types of acoustic guitar , the steel - string guitar , and the archtop guitar .","There are three main types of modern acoustic guitar: the classical guitar (nylon-string guitar), the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a ""jazz guitar"".","Which style do you like best? there are 3 types of modern acoustic guitar. The classical guitar, the steel string guitar or the jazz guitar?",1,1
65,305,2,Coors Brewing Company,Do you think it was because of it's taste or because of its good business practices?,i think the taste was the main reason . coors itself was turned into a beer production plant .,"i ' m not sure , but i do know that coors started production in 1885 .",The brewery itself was converted into a malted milk and near beer production facility.,"Interestingly enough, they converted to a malted milk and near beer production facility. They sold malted milk to Mars candy.",1,1
66,318,0,Boy Scouts,My son joined Boy Scouts and I have volunteered to help the troop.  I am new to Boy Scouts.,boy scouts is the largest youth organization in the us .,that ' s cool . they ' ve been around for a long time .,"The Boy Scouts of America (BSA), one of the largest private youth organizations in the United States, has policies which prohibit those who are not willing to subscribe to the BSA's Declaration of Religious Principle and, until January 2014, prohibited all ""known or avowed homosexuals"", from membership in its Scouting program.",That's pretty cool! Boy Scouts is one of the largest private youth organizations in the US,1,0
67,321,1,Gone with the Wind (film),I've actually never seen it! Anything you could tell me to convince me to watch it?,"well , it ' s about scarlett o hara , a strong willed daughter and a plantation owner",it was set in the south of the american civil war .,"Set in the American South against the backdrop of the American Civil War and the Reconstruction era, the film tells the story of Scarlett O'Hara, the strong-willed daughter of a Georgia plantation owner, from her romantic pursuit of Ashley Wilkes, who is married to his cousin, Melanie Hamilton, to her marriage to Rhett Butler.","Sure, it is a well known movie that is set in the Civil War and Reconstruction Era.  It is about a character named Scarlett O'Hara",1,0
68,323,2,Star Trek,I remember when it debuted and it was different from anything on television at that time,i remember watching it when it first came out in the 20 ' s,it was created by william shatner and william shatner .,"It followed the interstellar adventures of Captain James T. Kirk (William Shatner) and his crew aboard the starship USS ""Enterprise"", a space exploration vessel, built by the United Federation of Planets in the twenty-third century.",i wasn't even born :) I love all the interstellar adventures of Captain James Kirk,1,1
69,329,3,IPhone,Sounds like it. Is iPhone a huge part of the cell phone market?,"i ' m not sure , but i do know that it ' s been around since the 3gs !","i ' m not sure , but i know it ' s been around since the late 2000 ' s .","An iPhone can shoot video (though this was not a standard feature until the iPhone 3GS), take photos, play music, send and receive email, browse the web, send and receive text messages, follow GPS navigation, record notes, perform mathematical calculations, and receive visual voicemail.","I meant HE was the American entrepreneur, not me!  the iPhone does sell well, and has GPS navigation  and can record notes!",1,0
70,332,1,The Beatles,"They are so famous but I am blanking on any of the song titles, lol.","i know , right ? it ' s hard to remember most of their songs . they were actually a producer and producer of george martin ' s recordings .","their first hit "" love me me do "" , love me do you like them ?","Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.","Well we can start with their first hit released in 1962, Love Me Do.",1,1
71,338,1,Coca-Cola,"It's my favorite too, though I prefer Diet Pepsi over Diet Coke.",i like diet coke better too . i think it was first made in 1893 .,it was first introduced in 1893 by caleb bradham .,"The drink Pepsi was first introduced as ""Brad's Drink"" in New Bern, North Carolina, United States, in 1893 by Caleb Bradham, who made it at his drugstore where the drink was sold.","That's known as ""Brad's Drink"", well first introduced. Pepsi has a cool story that is",1,0
72,342,1,Tool (band),They've won three Grammy Awards and have had several world wide tours.,they are one of the most popular bands of all time . their first album was called undertow .,"i ' m not sure , but their first album was released in 1998 .","The band emerged with a heavy metal sound on their first studio album, ""Undertow"" (1993), and later became a dominant act in the alternative metal movement, with the release of their second album, ""Ænima"" in 1996.","Wow, you really are a fan of Tool! I think my favorite album by them is ""Undertow"" which really made them a dominant act in the alternative metal movement act.",1,1
73,343,3,Florida,"Interesting, I didn't know it had so many people. I think I heard that Miami had the highest rated air quality back in like 2008.","i ' m not sure about that , but i do know that there are about 2 - 3 million people in florida !","i ' m not sure , but florida has a lot of coastline on the gulf of mexico .",About two-thirds of Florida occupies a peninsula between the Gulf of Mexico and the Atlantic Ocean.,"Awesome!  Interestingly, the Gulf of Mexico and the Atlantic Ocean has a peninsula of which Florida occupies about two-thirds",1,0
74,353,3,Karate,It sure is popular. There are over 4 Karate studios in my town alone.,wow that ' s a lot of karate schools . they started appearing in the us and europe .,"i ' m not sure , but i do know that it ' s been around since the 19th century .","Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.","Yup, I wouldn't doubt it. There are schools all over the place. They usually interest those that have a somewhat interest in it to a deeper connection with the art.",1,1
75,364,1,Alpaca,Yeah those are great!,"they are very similar to a llama , and often confuse them .",alpacas are similar to llamas . they are often confused with llamas .,"Alpacas are similar to llamas, and are often confused with them.",they are similar to llamas and are often confused with them until you try to eat them!,1,0
